# k     pk_smooth     pk_ratio
0.000253696 1025.63 -2.21096e-11
0.000255073 1030.99 -2.27601e-11
0.000256457 1036.37 8.53229e-12
0.000257849 1041.78 6.69917e-11
0.000259248 1047.22 9.40696e-11
0.000260655 1052.68 2.33489e-11
0.00026207 1058.18 -1.73042e-10
0.000263492 1063.7 -2.78935e-10
0.000264923 1069.25 -1.05474e-10
0.00026636 1074.83 7.35767e-11
0.000267806 1080.44 1.03722e-10
0.000269259 1086.08 5.12821e-11
0.000270721 1091.75 -8.90132e-12
0.00027219 1097.44 -2.8566e-11
0.000273667 1103.17 -1.95348e-11
0.000275153 1108.93 -1.89782e-12
0.000276646 1114.71 7.03926e-12
0.000278147 1120.53 6.5381e-12
0.000279657 1126.38 1.97353e-12
0.000281175 1132.25 -1.45084e-12
0.000282701 1138.16 -1.98275e-12
0.000284235 1144.1 -9.55125e-13
0.000285778 1150.06 1.86295e-13
0.000287329 1156.06 5.40901e-13
0.000288888 1162.09 3.56826e-13
0.000290456 1168.15 2.64233e-14
0.000292032 1174.25 -1.08247e-13
0.000293617 1180.37 -7.23865e-14
0.000295211 1186.53 -3.10862e-15
0.000296813 1192.71 -3.67484e-14
0.000298424 1198.93 -1.44107e-13
0.000300043 1205.19 -1.5643e-13
0.000301672 1211.47 8.90399e-14
0.000303309 1217.79 5.49116e-13
0.000304955 1224.14 7.39186e-13
0.00030661 1230.52 1.2057e-13
0.000308274 1236.93 -1.53799e-12
0.000309947 1243.38 -2.79143e-12
0.00031163 1249.86 -1.65856e-12
0.000313321 1256.38 3.53184e-12
0.000315021 1262.93 9.51395e-12
0.000316731 1269.51 9.00657e-12
0.00031845 1276.12 -5.28666e-12
0.000320178 1282.77 -2.95427e-11
0.000321916 1289.46 -3.85921e-11
0.000323663 1296.18 -4.857e-12
0.00032542 1302.93 8.18943e-11
0.000327186 1309.72 1.45535e-10
0.000328962 1316.55 8.31428e-11
0.000330747 1323.41 -1.80629e-10
0.000332542 1330.3 -3.25831e-10
0.000334347 1337.23 -1.59273e-10
0.000336161 1344.2 4.21394e-11
0.000337986 1351.2 1.00947e-10
0.00033982 1358.24 6.41633e-11
0.000341665 1365.31 2.60147e-12
0.000343519 1372.42 -2.56375e-11
0.000345383 1379.57 -2.20658e-11
0.000347258 1386.75 -5.6537e-12
0.000349142 1393.97 5.57998e-12
0.000351037 1401.23 6.85008e-12
0.000352942 1408.53 3.01648e-12
0.000354858 1415.86 -8.57869e-13
0.000356784 1423.23 -1.93789e-12
0.00035872 1430.64 -1.20759e-12
0.000360667 1438.09 -3.16414e-14
0.000362625 1445.57 4.8983e-13
0.000364593 1453.1 4.07008e-13
0.000366571 1460.66 9.81437e-14
0.000368561 1468.26 -9.20375e-14
0.000370561 1475.9 -9.30367e-14
0.000372572 1483.58 -2.14273e-14
0.000374594 1491.3 -6.10623e-15
0.000376627 1499.06 -8.08242e-14
0.000378671 1506.86 -1.23679e-13
0.000380726 1514.7 -2.10942e-15
0.000382793 1522.57 3.30402e-13
0.00038487 1530.49 5.5822e-13
0.000386959 1538.45 2.7911e-13
0.000389059 1546.45 -8.15015e-13
0.000391171 1554.5 -1.96931e-12
0.000393294 1562.58 -1.70253e-12
0.000395428 1570.7 1.42442e-12
0.000397574 1578.87 6.25588e-12
0.000399732 1587.08 7.5997e-12
0.000401902 1595.33 -8.69305e-14
0.000404083 1603.62 -1.78896e-11
0.000406276 1611.96 -2.9429e-11
0.000408481 1620.33 -1.40356e-11
0.000410698 1628.75 4.38594e-11
0.000412927 1637.22 1.0305e-10
0.000415168 1645.73 8.69322e-11
0.000417421 1654.28 -7.31269e-11
0.000419686 1662.87 -1.59654e-10
0.000421964 1671.51 -9.55381e-11
0.000424254 1680.19 1.9531e-12
0.000426557 1688.92 4.21956e-11
0.000428872 1697.69 3.34386e-11
0.0004312 1706.51 6.82854e-12
0.00043354 1715.37 -8.81129e-12
0.000435893 1724.28 -8.77765e-12
0.000438258 1733.23 -2.6259e-12
0.000440637 1742.23 4.50751e-14
0.000443028 1751.27 -3.39073e-12
0.000445433 1760.36 -5.81935e-12
0.00044785 1769.5 5.92193e-13
0.000450281 1778.68 1.80767e-11
0.000452725 1787.91 2.92992e-11
0.000455182 1797.19 1.26694e-11
0.000457652 1806.51 -4.72287e-11
0.000460136 1815.88 -1.05845e-10
0.000462633 1825.3 -8.49772e-11
0.000465144 1834.77 9.02187e-11
0.000467669 1844.28 3.42671e-10
0.000470207 1853.85 3.93643e-10
0.000472759 1863.46 -4.94732e-11
0.000475324 1873.12 -1.00077e-09
0.000477904 1882.83 -1.55682e-09
0.000480498 1892.59 -6.25524e-10
0.000483106 1902.4 2.53877e-09
0.000485728 1912.26 5.54436e-09
0.000488364 1922.17 4.33093e-09
0.000491014 1932.13 -4.95344e-09
0.000493679 1942.14 -1.80183e-08
0.000496358 1952.21 -2.03083e-08
0.000499052 1962.32 3.38632e-09
0.000501761 1972.48 6.56783e-08
0.000504484 1982.7 1.71108e-07
0.000507222 1992.96 3.22651e-07
0.000509975 2003.28 5.23285e-07
0.000512743 2013.65 7.75999e-07
0.000515525 2024.08 1.08379e-06
0.000518323 2034.55 1.44965e-06
0.000521136 2045.08 1.87661e-06
0.000523965 2055.67 2.36775e-06
0.000526808 2066.3 2.92613e-06
0.000529668 2076.99 3.55425e-06
0.000532542 2087.73 4.25389e-06
0.000535432 2098.53 5.02679e-06
0.000538338 2109.38 5.87469e-06
0.00054126 2120.29 6.79938e-06
0.000544198 2131.25 7.80265e-06
0.000547151 2142.27 8.88633e-06
0.000550121 2153.34 1.00522e-05
0.000553106 2164.47 1.13023e-05
0.000556108 2175.65 1.26384e-05
0.000559126 2186.89 1.40623e-05
0.000562161 2198.19 1.55762e-05
0.000565212 2209.54 1.71818e-05
0.000568279 2220.95 1.88813e-05
